,filename,width,height,class,xmin,ymin,xmax,ymax
0,20191114_144039.jpg,2988,5312,Escalier_Bleu,1487,1357,2967,2308
1,20191114_144044.jpg,2988,5312,Escalier_Bleu,649,772,3569,2355
2,20191114_144058.jpg,2988,5312,Escalier_Bleu,203,1094,2754,2524
3,20191114_144107.jpg,2988,5312,Escalier_Bleu,163,985,2594,2276
4,20191114_144121.jpg,2988,5312,Escalier_Bleu,432,775,2997,2531
5,20191114_144134.jpg,2988,5312,Escalier_Bleu,1234,951,3938,2418
6,20191114_144146.jpg,2988,5312,Escalier_Bleu,1171,832,2934,1773
7,20191114_144215.jpg,2988,5312,Escalier_Bleu,975,848,2774,1896
8,20191114_144232.jpg,2988,5312,Escalier_Bleu,419,708,2325,1856
9,20191114_144248.jpg,2988,5312,Escalier_Bleu,1842,948,3542,1879
10,20191114_144309.jpg,2988,5312,Escalier_Bleu,2897,1853,4287,2522
11,20191114_144327.jpg,2988,5312,Escalier_Bleu,1560,911,3719,1992
12,20191114_144353.jpg,2988,5312,Escalier_Bleu,1816,925,4337,2176
13,20191114_144405.jpg,2988,5312,Escalier_Bleu,1227,702,4530,2418
14,20191114_144429.jpg,2988,5312,Escalier_Bleu,995,848,3513,2218
15,20191114_144437.jpg,2988,5312,Escalier_Bleu,1171,1254,2631,2322
16,20191114_144450.jpg,2988,5312,Escalier_Bleu,1547,755,3373,1853
17,20191114_144454.jpg,2988,5312,Escalier_Bleu,1530,968,3742,2305
18,20191114_144517.jpg,2988,5312,Escalier_Bleu,1317,625,3582,1832
19,20191114_144527.jpg,2988,5312,Escalier_Bleu,842,1024,4544,2910
20,20191114_144535.jpg,2988,5312,Escalier_Bleu,1643,888,3409,1896
21,20191114_144541.jpg,2988,5312,Escalier_Bleu,1550,1024,3486,2138
22,20191114_144545.jpg,2988,5312,Escalier_Bleu,1883,1430,3726,2751
23,20191114_144604.jpg,2988,5312,Escalier_Bleu,1367,878,3439,1939
24,20191114_144607.jpg,2988,5312,Escalier_Bleu,2129,1487,4165,2957
25,20191114_144609.jpg,2988,5312,Escalier_Bleu,2096,1337,3985,2524
26,20191114_144622.jpg,2988,5312,Escalier_Bleu,1224,1101,3655,2618
27,20191114_144625.jpg,2988,5312,Escalier_Bleu,1896,1161,4407,2857
28,20191114_144645.jpg,2988,5312,Escalier_Bleu,935,1044,3370,2498
29,20191114_144648.jpg,2988,5312,Escalier_Bleu,1400,416,3299,1637
30,20191114_144649.jpg,2988,5312,Escalier_Bleu,1464,409,3260,1593
31,20191114_144652.jpg,2988,5312,Escalier_Bleu,1477,43,3187,1194
32,20191114_144701.jpg,2988,5312,Escalier_Bleu,236,835,2305,2039
33,20191114_144714.jpg,2988,5312,Escalier_Bleu,1859,1054,3921,2341
34,20191114_144717.jpg,2988,5312,Escalier_Bleu,1590,10,4627,1630
35,20191114_144722.jpg,2988,5312,Escalier_Bleu,1414,702,4198,2089
36,20191114_144726.jpg,2988,5312,Escalier_Bleu,1567,742,4697,2831
37,20191114_144732.jpg,2988,5312,Escalier_Bleu,1344,542,3805,2215
38,20191114_144740.jpg,2988,5312,Escalier_Bleu,848,1031,3938,2744
39,20191114_144749.jpg,2988,5312,Escalier_Bleu,985,1008,3244,2146
40,20191114_144752.jpg,2988,5312,Escalier_Bleu,1650,1101,3918,2358
41,20191114_144805.jpg,2988,5312,Escalier_Bleu,160,239,4098,2364
42,20191114_144808.jpg,2988,5312,Escalier_Bleu,3,1617,1783,2864
43,20191114_144812.jpg,2988,5312,Escalier_Bleu,1334,313,4557,2392
44,20191114_144819.jpg,2988,5312,Escalier_Bleu,1340,848,4530,2438
45,20191114_144821.jpg,2988,5312,Escalier_Bleu,1859,1061,3971,2252
46,20191114_144822.jpg,2988,5312,Escalier_Bleu,1650,1294,4165,2984
47,20191114_144854.jpg,2988,5312,Escalier_Bleu,1158,1264,4039,2767
48,20191114_144859.jpg,2988,5312,Escalier_Bleu,905,655,3985,2188
49,20191114_144902.jpg,2988,5312,Escalier_Bleu,1417,7,4534,1291
50,20191114_144920.jpg,2988,5312,Escalier_Bleu,1424,625,4095,1995
51,20191114_144924.jpg,2988,5312,Escalier_Bleu,901,569,4533,2638
52,20191114_144928.jpg,2988,5312,Escalier_Bleu,1507,1074,3739,2079
53,20191114_144937.jpg,2988,5312,Escalier_Bleu,782,868,4038,2561
54,20191114_144947.jpg,2988,5312,Escalier_Bleu,925,516,4238,2262
55,20191114_144953.jpg,2988,5312,Escalier_Bleu,1470,852,3938,2149
